Total_Code,하천차수,수온,DO,pH,Conductivity,Turbidity,BOD,NH3-N,NO3-N,T-N,PO4-P,T-P,Chl-a,1시가화건조지역,2농업지역,3산림지역,4초지지역,5습지,6나지,7수역,비율,slope_R,aspect_gra,tavg_R,tmax_7m_R,tmin_1m_R,prcp_R,godo_R,수폭m,수심cm,유속cm/s
3012G204,5,22.3,8.2,8,290.5,2.8,2.9,0.091,0.812,1.283,0.018,0.03,20.2,4.051,52.364,19.303,14.086,5.367,2.204,2.625,100,0,0,11.9368,28.7791,-6.73746,1234.97,20,30,34.8,19.8
3012G208,9,22.5,9.9,8.1,284.9,61.4,2.9,0.077,1.435,2.317,0.037,0.082,4.9,0,41.688,0,8.988,9.756,2.454,37.114,100,0,0,12.3251,28.7792,-6.36379,1236.91,20,324,26.4,6.6
3013G054,7,21.7,8.2,8.3,249.3,57.3,3.1,0.259,1.46,3.017,0.028,0.089,5.4,4.595,60.227,0,5.957,5.904,9.3,14.017,100,0,0,12.0011,28.4752,-6.70975,1235.25,20,91,29.6,8.2
3014G003,9,21.7,8.2,8.2,229.8,64.1,2.4,0.1,1.234,2.058,0.036,0.086,6.4,24.691,12.068,0,31.574,2.291,3.448,25.929,100.001,0,0,12.0052,28.874,-6.68172,1239.33,20,195,28.7,13.7
3014G015,5,23.2,6.8,8,339,59.1,3.1,0.044,1.295,2.957,0.018,0.032,5.2,4.609,73.827,8.223,4.305,0,0,9.037,100.001,0,0,12.3673,28.4387,-6.29846,1229.38,20,60,38.1,0
3014G033,5,24.1,6.1,7.5,298,55.4,2.5,0.034,0.882,1.228,0.019,0.031,1.3,7.335,74.605,2.427,4.407,8.456,0,2.771,100.001,0,0,11.9207,28.3094,-6.24352,1220.51,20,30,26.9,0
3014G039,9,22,7.5,8,248.4,42,2.6,0.062,1.312,1.874,0.035,0.08,5.7,7.275,18.547,4.226,0,0.302,3.802,65.848,100,0,0,NA,NA,NA,NA,20,1100,27.2,0
3014G048,4,24,7.1,8.1,273,47.3,4.3,0.342,0.559,1.254,0.037,0.052,9.5,4.627,82.621,4.073,0.993,3.597,0,4.09,100.001,0,0,12.255,27.6694,-5.6482,1207.05,20,25,28.7,0
4001G002,4,17.9,7.8,7,75.1,1.6,0.7,0.047,1.138,1.431,0.01,0.016,1,3.489,76.645,10.405,1.493,5.844,0,2.124,100,0,0,10.7571,27.5936,-7.98925,1349.88,340,18.9,27.8,5.4
4001G004,3,17,7.8,8,45.5,0.5,0.9,0.022,0.418,0.629,0.01,0.02,1.5,2.96,19.676,70.335,3.56,3.47,0,0,100.001,1.96406,7,9.97751,27.1416,-9.19116,1375.13,440,7,20.7,97.6
4001G008,3,18.6,8,8.2,123.9,8,1.9,0.017,2.089,2.425,0.071,0.084,0.9,4.975,41.056,34.731,5.083,5.913,4.114,4.129,100.001,1.3134,6,10.3917,27.6227,-8.76918,1347.37,280,1.5,23.1,25
4001G010,5,19.7,8.6,7.9,105.5,6.5,0.9,0.043,1.613,1.814,0.01,0.022,1,4.773,77.256,5.168,3.497,4.024,0,5.282,100,0,0,11.1133,27.6719,-8.03079,1351.31,280,28.9,21.2,12.9
4001G018,4,19.5,8.1,7.5,236.1,3.8,1,0.03,1.476,1.854,0.022,0.036,1.3,6.198,38.049,39.587,4.137,7.15,1.4,3.478,99.999,0,0,11.1965,28.0906,-7.95421,1326.28,260,20.7,21,22.3
4001G024,5,19.6,8.1,7.4,152.9,5.1,1.1,0.025,1.575,1.96,0.014,0.027,1.4,5.961,20.942,47.295,9.792,6.682,0.952,8.377,100.001,0,0,10.8704,28.0906,-8.24842,1349.05,260,39.5,22,10.7
4001G030,4,19,6.9,7.8,111,2.7,1.1,0.029,0.938,1.228,0.008,0.012,1.4,5.235,45.931,34.564,2.627,8.521,0,3.122,100,0,0,11.2995,27.8771,-7.41691,1326.25,260,20,10.6,69.1
4001G032,5,22.1,7.7,8,140,2.8,1,0.034,1.161,1.642,0.011,0.023,1.3,4.187,27.57,44.317,10.461,2.666,2.187,8.613,100.001,5.02217,4,10.6038,27.8269,-8.41846,1335.85,244.968,46.7,22.7,32.6
4001G036,4,22.8,8.2,7.7,165.4,4.3,1.1,0.111,1.106,1.471,0.008,0.022,1.2,2.545,12.695,61.519,3.39,7.139,5.295,7.416,99.999,0,0,11.3149,28.2281,-7.31874,1299.56,220,48.8,19.9,20.7
4001G038,3,18.9,6.4,7.8,184.5,5.4,1.5,0.015,1.397,1.714,0.012,0.02,2.4,8.643,45.841,22.789,11.083,3.915,7.728,0,99.999,0,0,11.0092,28.2281,-7.61539,1296.74,220,21,8.2,49.6
4001G040,5,21.9,8.6,7.8,145.5,2.5,1.4,0.099,1.296,1.593,0.012,0.025,2.3,22.931,30.644,13.199,10.45,1.759,4.699,16.318,100,0,0,10.6682,28.2281,-8.59542,1280.74,220,70.9,21.3,3.8
4001G048,4,21.6,8.4,7.4,261.8,6.5,2,0.272,1.096,2.063,0.071,0.097,3.8,7.905,55.992,19.914,4.884,4.229,2.764,4.312,100,0,0,10.97,28.2622,-7.61328,1273.98,220,13.8,21.6,15.8
4001G050,5,21.6,8.4,8,184.3,3.2,1.8,0.06,1.206,1.76,0.022,0.053,4.7,3.034,24.304,48.697,6.274,2.989,0,14.702,100,0,0,11.0113,28.2791,-7.89002,1282.56,220,120,31.5,4.8
4001G054,6,23.4,8.8,8.6,173.4,5.6,1.7,0.069,1.085,1.807,0.007,0.034,4,3.177,13.055,34.129,2.7,12.361,2.404,32.173,99.999,0,0,11.3896,28.2673,-7.12517,1259.58,200,82.5,25.2,6.8
4001G056,4,19.8,6.5,7.5,173,18.8,2,0.033,1.085,1.362,0.008,0.025,2.3,3.174,26.449,65.721,0.647,1.906,0.809,1.294,100,0.010789,0,11.3807,28.2945,-7.46646,1261.91,200,3,10.5,41.3
4001G062,5,20.7,6.6,7.8,163,6.6,1.2,0.013,1.265,1.76,0.005,0.009,1.5,6.759,38.162,20.781,5.871,7.91,7.517,13,100,0,0,10.8538,28.4348,-8.04467,1254.88,200,9,11.7,83.7
4001G066,1,20.4,7.2,7,75.7,5,0.8,0.023,1.024,1.224,0.016,0.025,1.3,3.542,3.946,70.884,2.685,0,0,18.943,100,21.2451,3,11.4147,28.3129,-7.02604,1242.7,219.393,14,28.5,4
4001G068,2,19.7,8,7.1,83,1.6,0.6,0.041,0.904,1.489,0.021,0.028,1,4.706,15.469,63.579,1.092,1.792,0.842,12.52,100,8.00281,2,11.0908,28.3356,-7.69078,1263.2,204.587,4,22.8,45.8
4001G090,3,24.1,9.2,7.6,158.6,5.6,1.1,0.033,1.258,1.511,0.018,0.029,1.1,4.845,21.024,67.377,3.57,1.856,0.561,0.766,99.999,0,0,11.1992,28.3301,-7.29275,1220.87,200,12,25.4,0
4001G094,2,20.2,10.4,7.7,195,3.8,2.1,0.013,0.714,1.335,0.053,0.074,0.7,1.523,1.504,75.778,2.124,0.715,0,18.356,100,0,0,11.1225,28.324,-7.36067,1229.34,200,2,6.7,45.4
4001G096,5,21.4,8.7,8.3,120.6,2.9,0.9,0.04,1.906,2.499,0.01,0.021,1.3,1.367,16.836,66.934,2.786,3.171,3.127,5.778,99.999,0.315767,0,10.857,28.3317,-7.60268,1234.97,200,51.8,28.7,12.1
4002G005,6,19.3,9.1,7.8,105.2,3.5,1.3,0.064,1.097,1.495,0.009,0.02,2.1,3.721,18.726,60.893,4.186,4.16,0.333,7.98,99.999,0,0,11.0715,28.3068,-7.34332,1246.89,140,76.3,26.4,5.7
4002G025,4,22.6,8.7,8,168.7,3.5,1.2,0.064,1.205,1.55,0.027,0.044,2.9,5.135,37.21,30.124,6.287,10.422,4.158,6.663,99.999,3.24391,4,11.0652,28.2867,-8.0211,1243.72,120.774,16.9,21.6,33.4
4002G030,6,23.6,8.4,7.7,139.6,3.4,1.2,0.065,0.991,1.411,0.018,0.031,2.1,2.892,36.941,40.622,0.851,8.998,1.805,7.892,100.001,0,0,11.7386,28.2867,-6.66876,1250.08,120,43.4,25.4,6.4
4002G055,4,21.6,8.3,8.3,106.8,2.3,1.1,0.057,1.505,2.125,0.011,0.023,1.3,6.877,41.932,26.068,8.424,7.907,5.89,2.903,100.001,0,0,11.0879,28.3051,-7.95732,1254.38,120,20.4,25.3,21.4
4002G060,6,22.6,9,8.6,124.5,2,1.5,0.025,1.394,1.893,0.022,0.036,2,2.603,13.712,65.367,4.745,6.467,0.82,6.287,100.001,0.064416,0,11.4331,28.6409,-6.94492,1252.87,120,65.9,24.8,22.7
4002G065,4,21.1,5.1,7.3,188.5,4.9,1.9,0.013,1.259,1.828,0.012,0.016,0.6,1.283,29.604,59.71,5.511,3.232,0.412,0.247,99.999,0,0,11.4168,28.2886,-6.97537,1259.76,140,4,32.6,0
4002G070,6,23.2,8.7,8.5,121.4,2.8,1.3,0.031,1.155,1.673,0.011,0.033,1.4,0,8.011,74.525,2.485,7.41,2.259,5.311,100.001,0,0,11.1655,28.6331,-7.52894,1279.55,100,39,30.2,3.5
4003G087,6,22.4,8.5,8.2,179.4,7.4,2.1,0.068,1.1,1.729,0.021,0.045,3.5,6.076,51.296,20.008,7.12,7.86,1.137,6.502,99.999,0,0,11.8995,28.6501,-6.44843,1267.74,80,62.2,22.4,9.8
4004G003,3,20.5,8.6,7.7,233.9,9.9,1.2,0.034,1.11,1.584,0.022,0.027,1.9,2.815,28.699,55.849,7.355,3.515,1.767,0,100,5.37585,6,11.2604,28.6501,-7.42009,1278.27,101.028,6.5,21.8,11.7
4004G006,7,23.6,8.9,8.2,151,4.9,1.8,0.085,0.924,1.607,0.012,0.038,3,10.464,30.319,25.765,9.912,4.333,3.57,15.638,100.001,0,0,11.9254,28.6605,-6.42418,1274.88,80,119.6,22.3,3.4
4004G012,3,25.4,7.9,7.5,243.7,49.7,3,0.126,1.061,1.422,0.018,0.029,5.4,11.196,44.727,18.604,6.257,9.183,4.199,5.835,100.001,0,0,11.949,28.6602,-6.39829,1269.29,80,6,26.5,8
4004G039,5,24.5,8.9,8,220.5,5.9,2.5,0.199,1.243,1.756,0.034,0.067,7.3,8.229,57.272,18.077,2.172,8.625,1.661,3.964,100,0,0,11.2772,28.6525,-7.39423,1278.63,80,35.4,24.9,16.7
4004G042,7,24.9,9.6,8.2,171.7,7.6,1.8,0.052,1.208,1.501,0.036,0.051,2.9,2.463,53.191,9.719,5.346,16.805,2.588,9.888,100,0,0,11.964,28.6835,-6.3868,1269.17,80,130.2,19.4,17.7
4004G069,5,21.9,8.5,8,181.1,6.1,1.6,0.074,0.957,1.397,0.051,0.074,3.8,5.254,52.039,18.221,8.497,9.096,2.761,4.133,100.001,0,0,12.005,28.6965,-6.2757,1298.18,80,44.5,23.8,24
4004G072,7,22.9,8.7,8.2,158.3,7.9,1.7,0.076,1.719,2.292,0.038,0.061,5.1,18.369,41.118,2.493,6.714,19.2,0,12.106,100,0,0,11.9861,28.6889,-6.36686,1276.3,80,138.3,20.2,13.8
4004G084,7,23,8.7,8.3,154.3,5.3,1.6,0.088,1.004,1.466,0.014,0.042,4,6.398,43.374,0.289,11.893,17.109,9.272,11.664,99.999,0,0,12.0327,28.6208,-6.38027,1281.6,60,112.1,31.1,16.4
4005G081,5,22.8,8.8,8.1,173.3,4.1,2,0.071,1.681,2.049,0.055,0.089,3,0,59.273,0,4.885,23.591,0,12.251,100,0,0,12.0442,28.5874,-6.40223,1280.63,60,112.1,24.2,5.8
4006G009,3,24.5,7.8,7.3,191.9,7.9,2.5,0.034,1.781,1.946,0.018,0.035,2.6,5.119,54.871,24.93,4.6,3.167,3.402,3.912,100.001,0,0,11.3671,28.5361,-7.4615,1293.92,80,40,26.5,0
4006G015,7,23.3,9.3,8.3,163.1,9.1,2,0.206,1.538,2.224,0.028,0.06,5.2,9.43,42.559,0,1.473,27.297,7.854,11.386,99.999,0,0,11.6851,28.568,-7.10069,1283.96,60,25.5,24.9,18.4
4006G018,3,21.4,9,7.1,109.4,6.8,1.5,0.033,1.052,1.906,0.007,0.015,1.6,3.411,11.057,65.713,16.855,2.965,0,0,100.001,0,0,11.6597,28.544,-7.13421,1307.72,80,5,32.6,2.4
4006G033,4,23.8,8.3,7.6,170.7,2.4,1.7,0.183,1.752,2.188,0.046,0.072,3.8,5.931,75.407,0,6.198,12.093,0.372,0,100.001,0,0,12,28.568,-6.09574,1290.42,60,12,24.7,18.8
4006G045,7,23.4,9.2,8.6,161.6,3.4,2.4,0.042,1.369,1.805,0.029,0.075,4.6,3.925,22.152,40.047,8.216,13.951,0,11.71,100.001,0,0,11.5785,28.5025,-7.22669,1322.34,40,52.5,17.1,28.3
4006G048,2,18.2,9.2,6.8,40.4,4.3,0.9,0.017,0.347,0.55,0.009,0.026,1.7,0,2.213,86.951,10.837,0,0,0,100.001,22.0799,4,11.9523,28.1692,-6.49071,1337.8,126.348,3.5,16.3,16.5
4006G054,2,23,7.5,7,68.1,6.3,1.1,0.029,0.919,1.219,0.014,0.03,1.1,4.953,16.384,50.946,6.314,11.725,0,9.678,100,3.89772,3,11.9078,28.5025,-6.55195,1328.18,60.4613,14,26.1,6.4
4006G057,3,20,7.9,7,59.9,7.3,1.3,0.01,0.437,0.591,0.01,0.027,1,7.106,22.303,35.498,2.367,9.726,11.844,11.156,100,7.06613,2,11.5466,28.395,-7.21336,1330.77,44.4042,8,28.5,11.1
4006G060,7,22.8,8.7,8.3,160.8,3.4,2.2,0.063,1.279,1.864,0.027,0.059,3,12.937,7.568,34.813,18.699,3.786,5.436,16.761,100,0,0,11.8523,28.395,-6.20054,1338.21,40,109.6,27.7,8.2
4008G069,6,22.1,7.9,7.8,91.7,3.5,1,0.023,0.667,0.983,0.007,0.024,2,11.427,8.069,23.728,29.218,4.461,5.584,17.512,99.999,0,0,11.5177,28.395,-7.1967,1337.82,40,71,33.8,8.4
4009G002,3,20.4,9,7.2,89,6.8,1.3,0.033,0.865,1.299,0.004,0.007,0.9,2.808,14.653,66.812,15.4,0,0.327,0,100,19.188,1,11.499,28.013,-7.19398,1348.54,105.306,3,25.8,9.7
4009G004,3,18.8,8.4,7.2,69.6,1.6,1.1,0.024,0.889,1.335,0.01,0.023,1.3,1.107,29.123,42.796,26.974,0,0,0,100,0,0,11.5083,28.0343,-7.28541,1353.58,120,4.5,22.1,27.3
4009G024,5,22.8,8.1,7.5,134.2,2.3,1.2,0.054,1.467,2.043,0.014,0.031,1.5,5.992,46.58,20.308,7.991,7.869,8.318,2.942,100,0,0,11.7804,28.2552,-6.24589,1411.05,40,28.1,24.3,13.3
4009G026,7,22.8,8.6,7.8,132.1,2.6,1.1,0.061,1.564,2.239,0.018,0.031,1.7,11.563,15.668,31.408,4.553,15.654,3.517,17.637,100,0,0,11.7732,28.2552,-6.29787,1385.25,40,140,26.4,8
4009G048,5,23,8.1,7.5,146.6,6.4,2.4,0.024,1.242,1.785,0.022,0.041,4.1,19.117,46.226,0,15.379,6.027,5.145,8.106,100,0,0,11.7565,28.1954,-6.84071,1379.41,40,51.1,19,20.8
4009G056,4,23.5,8.4,7.1,100.3,4.4,1.5,0.018,0.476,0.639,0.02,0.03,0.5,1.404,14.865,74.716,3.812,4.856,0.348,0,100.001,0,0,11.383,28.1738,-7.45063,1451.57,60,7.5,14.5,17.7
4009G058,7,24.3,7.9,8.4,131.9,6.7,1.6,0.054,1.12,1.74,0.028,0.063,4.8,1.157,41.078,18.38,2.066,16.036,0,21.283,100,0,0,11.6858,28.1738,-6.53046,1454.68,40,13.8,21.3,13
4009G066,3,22.7,8.6,6.7,77.3,8,1.4,0.013,0.695,0.787,0.013,0.026,0.5,17.533,50.525,15.412,2.061,6.483,7.679,0.307,100,0,0,11.6461,28.0504,-6.54365,1483.59,40,12.5,25.5,10.7
4009G068,7,24,8.4,8.6,135,5.3,1.6,0.104,1.081,1.383,0.016,0.047,3.7,12.184,19.509,15.535,4.932,33.792,1.213,12.835,100,0,0,11.9422,28.0866,-6.29915,1463.25,40,78,26.5,7.2
4009G072,2,20.7,8.2,6.7,153.9,2.5,0.8,0.052,0.559,1.154,0.045,0.146,1.4,3.067,3.058,89.447,3.421,0,1.007,0,100,5.12034,3,10.8019,27.2786,-7.83329,1554.39,199.915,3.3,16.1,42.9
4009G074,2,21.9,8.6,6.9,46.4,6.7,0.8,0.015,0.478,0.592,0.008,0.014,0.4,2.646,12.072,61.34,1.753,9.137,2.607,10.444,99.999,10.5135,1,11.1438,27.6074,-7.41067,1522.97,46.6266,12.5,23.9,12.7
4009G080,3,21.6,8.8,6.9,34.1,4.2,0.6,0.009,0.31,0.481,0.005,0.01,0.4,11.362,4.281,51.465,4.063,6.086,8.302,14.441,100,0,0,11.4361,27.935,-6.76806,1533.31,40,27.5,28.3,18.3
4009G086,5,19.5,7.8,7.5,26.2,0.5,0.8,0.04,0.421,0.567,0.008,0.016,0.7,10.311,38.39,29.267,13.758,2.815,1.772,3.688,100.001,0,0,10.4882,27.5006,-8.43399,1566.02,100,37.3,29,23.2
4009G092,3,20.5,9.3,6.6,32.5,4.4,0.7,0.012,0.227,0.424,0.006,0.011,0.5,3.614,24.587,60.639,7.67,0,3.491,0,100.001,13.7031,8,11.2293,27.6017,-7.46251,1569.37,108.733,10,18.2,16
4009G094,7,23.1,7.6,8.2,96.6,2.5,1,0.249,0.786,1.194,0.017,0.034,2.1,10.239,30.386,13.197,13.628,4.574,17.389,10.587,100,0,0,11.5115,27.9225,-6.46092,1586.32,20,81.8,22.7,18.9
4009G098,4,22.1,8.8,6.9,40,1.9,0.6,0.079,0.809,1.285,0.051,0.088,1.2,2.005,18.11,53.753,19.272,0,6.86,0,100,3.04325,7,11.2877,27.576,-6.91763,1599.48,40,4,22.3,47.7
4009G100,3,20.6,8.4,7.6,66,3.5,0.9,0.091,0.875,1.276,0.007,0.012,0.5,11.237,58.922,10.783,13.362,5.549,0,0.147,100,0,0,11.03,27.4962,-7.46066,1617.05,80,10,17,18.8
4009G104,7,24.5,8.8,8.5,110.7,4.4,1.1,0.179,0.881,1.453,0.032,0.076,2.4,7.283,16.188,10.476,15.486,12.186,19.351,19.029,99.999,0,0,12.0677,27.6114,-5.65078,1611.5,20,117,23.8,13.6
4009G106,7,22.9,7.4,7.5,1451.8,5.8,1.1,0.149,0.747,1.19,0.012,0.026,2.6,15.675,10.18,12.76,16.468,5.203,6.37,33.343,99.999,0,0,12.2068,27.8831,-5.33469,1629.43,20,224.3,19.4,5.6
4009G122,4,21,7.5,7.4,74,1.9,0.8,0.068,0.883,1.26,0.007,0.023,1.4,12.467,42.454,22.932,8.169,3.819,3.836,6.322,99.999,0,0,12.6237,27.9144,-4.24091,1604.73,20,62.2,24.4,10.1
4009G138,5,24.2,7.1,7.3,8015,47.4,2.6,0.024,0.57,0.751,0.016,0.022,3.5,22.013,48.419,14.535,0.482,6.42,3.023,5.108,100,0,0,12.8468,27.5674,-4.02597,1554.64,20,50,16.6,12
4009G140,7,23.2,9.8,7.6,22313.2,10,0.9,0.102,0.698,1.142,0.017,0.035,2,13.244,5.88,21.757,4.447,7.719,0.543,46.409,99.999,0,0,13.1892,27.1859,-3.32418,1544.85,20,382.7,22.8,7.6
5001G002,3,19.4,8.3,6.6,49.1,1.3,0.8,0.065,0.958,1.238,0.009,0.023,1,4.217,26.005,61.921,3.19,4.667,0,0,100,0,0,11.4996,28.2664,-6.72133,1264.23,140,4,12.9,21.2
5001G006,4,21.6,9.4,7.1,102.8,3.6,1.6,0.113,1.653,2.392,0.04,0.08,1.8,9.591,45.932,12.101,10.19,16.275,5.302,0.609,100,0,0,11.7112,28.6586,-6.39607,1300.08,60,12.1,17.2,51.1
5001G008,4,19.5,6.7,7.6,168.6,4.4,2.5,0.094,0.924,1.697,0.02,0.048,11,5.514,69.149,6.235,8.443,8.167,0.001,2.491,100,0,0,12.3974,28.6625,-5.29854,1300.94,60,8,19.5,5.7
5001G016,4,20.7,7.2,6.8,140.3,4.1,2.2,0.182,1.059,1.929,0.025,0.042,8.3,11.168,68.196,3.132,9.961,7.012,0.53,0,99.999,0.144056,0,12.1707,28.6515,-5.76691,1312.94,40,12.5,25.9,0
5001G022,5,23.1,9,7.9,164.7,1.8,2.8,0.195,1.114,1.857,0.057,0.103,2.3,9.106,58.449,0,4.177,19.113,0,9.155,100,0,0,12.5891,28.6747,-4.98614,1319.74,40,59,23,18.1
5001G040,3,19.5,4.8,6.8,52.2,1.9,1.9,0.041,0.366,0.785,0.01,0.02,3.2,19.973,63.936,0,11.367,4.295,0.429,0,100,0,0,12.3097,28.6991,-4.86378,1315.24,40,2.5,26.4,9
5001G042,6,22.6,8.7,7.6,206.1,9.9,2.9,0.137,1.12,1.779,0.037,0.079,3,4.439,50.849,0,9.102,24.614,3.873,7.122,99.999,0,0,12.6781,28.6991,-4.82785,1315.9,40,55.4,32.7,2.8
5001G054,4,23.9,9,8.2,264.9,5,3.3,0.25,0.853,2.331,0.032,0.082,2,44.126,34.26,2.872,7.139,0,8.419,3.184,100,0,0,12.8247,28.6234,-3.91129,1299.29,20,23.9,18.7,30.7
5001G056,6,23.4,8.5,7.6,207.2,5.7,3.5,0.412,0.929,2.505,0.026,0.074,2.9,15.602,17.278,0,18.035,33.281,5.959,9.844,99.999,0,0,12.8314,28.667,-4.2437,1303.05,20,46.8,22.9,39.6
5001G062,5,23.5,7.5,7.6,269.1,4.1,4,0.178,2.069,3.592,0.1,0.169,2,39.152,20.067,0,20.944,4.897,8.661,6.279,100,0,0,12.8382,28.7119,-4.24698,1300.99,20,18.7,17.3,39.8
5001G064,6,22.9,7.8,7.5,269.8,3.1,4.4,0.858,1.962,5.207,0.066,0.152,3.3,31.676,18.838,0.348,8,23.93,2.012,15.195,99.999,0,0,12.8483,28.7089,-4.22436,1293.52,20,144.7,29.8,29.2
5001G068,1,20.3,8.7,8.4,228,4.3,4.4,0.382,8.172,11.161,0.632,1.175,6.7,34.503,42.874,10.525,3.047,1.624,5.343,2.084,100,0,0,12.5257,28.7059,-4.89147,1286.72,20,2.5,29.6,10.3
5001G072,6,22.8,7.1,7.5,294.8,5.2,6.5,0.873,1.111,5.28,0.107,0.158,3.2,16.428,31.561,0,37.767,0,3.129,11.116,100.001,0,0,12.871,28.696,-4.5262,1275.71,20,134,28.7,24.2
5001G074,1,20.4,7.4,6.4,140.8,3.5,10.6,0.812,2.385,5.46,0.125,0.19,90.9,0.877,31.265,0,62.366,1.07,0,4.421,99.999,0,0,12.5385,28.5972,-4.84043,1275.18,20,2.5,28,7
5002G084,6,23.2,8.9,8.2,186.6,3.1,2.6,0.09,0.957,1.436,0.023,0.078,2.3,22.765,3.73,0,8.333,42.413,9.344,13.415,100,0,0,12.8531,28.5031,-3.82491,1271.19,20,37,26,33.8
5003G005,7,22.1,9.1,8.2,202.7,4,4.1,0.098,2.584,4.536,0.09,0.185,5.2,7.549,26.541,0.464,17.25,0,29.782,18.414,100,0,0,12.5553,28.542,-4.82797,1266.27,20,120,47.8,1.4
5003G010,4,22.8,7.6,7.9,183,12.4,3.6,0.368,1.868,2.845,0.107,0.187,2.6,2.159,86.14,4.969,0.369,5.38,0.029,0.952,99.998,0,0,12.8818,28.4964,-4.13646,1265.6,20,9.8,26.3,12.2
5003G015,7,22.8,8.1,7.9,262.7,7.4,3.8,0.626,2.103,3.587,0.113,0.168,5.2,1.751,26.559,0.355,5.73,4.499,34.152,26.955,100.001,0,0,12.8979,28.0562,-4.43597,1251.94,20,256.5,23.5,11.5
5003G030,7,22.9,8.3,7.9,237.7,9,3.1,0.509,1.888,2.923,0.093,0.166,4.3,8.087,31.243,0,7.136,3.503,32.419,17.612,100,0,0,12.5728,28.0562,-4.69135,1230.83,20,121.7,18.7,23.1
5003G035,4,20.5,7.7,6.8,19.1,3.3,7.8,0.124,2.944,3.929,0.048,0.059,37.8,7.909,68.145,0.862,2.681,7.964,8.75,3.689,100,0,0,12.895,27.975,-4.43505,1237.41,20,3.8,23.6,40.2
5003G045,3,20.3,11.7,9.1,193.5,5,2.8,0.07,1.466,1.936,0.038,0.045,21.2,10.393,73.517,3.588,0,11.125,0,1.378,100.001,0,0,12.5794,27.975,-4.67725,1220.87,20,4,20.4,31
5003G060,5,22.9,8.5,8.3,165.9,7.3,2.9,0.125,1.609,2.167,0.051,0.114,2.5,38.224,27.881,12.641,13.221,2.439,0,5.593,99.999,0,0,12.9221,27.975,-3.9419,1232.04,20,56,23.4,14.8
5003G065,7,22.4,9.1,7.9,106.2,7.4,3.1,0.22,1.797,3.217,0.025,0.059,12.1,9.062,42.02,15.438,3.322,0,17.895,12.264,100.001,0,0,12.9187,27.625,-4.22029,1219.47,20,105,57.6,1.6
5003G070,2,19.9,6,5.2,153.1,7.1,2.2,0.015,1.96,2.199,0.025,0.036,1.8,10.782,15.823,63.579,7.74,0,0.525,1.549,99.998,0,0,12.5841,27.4468,-4.49628,1211.39,20,3.8,30.6,32.4
5003G080,7,22.9,11.2,8.7,226.6,8.2,2.7,0.131,1.93,2.972,0.048,0.138,4.9,0.961,22.508,0,2.497,0,52.121,21.913,100,0,0,12.9355,27.0106,-3.26871,1189.63,20,128.9,28,8.9
5003G085,3,20.4,7.4,6.8,43.4,4,5.3,0.083,3.462,4.267,0.139,0.161,16.1,12.644,85.972,1.212,0.172,0,0,0,100,0,0,12.6071,26.8855,-3.72497,1197.71,20,3.3,25.3,18
5003G090,7,22.8,9.7,8.6,199.1,30,3.1,0.286,1.969,2.937,0.076,0.138,5,1.074,56.146,9.626,0,7.369,3.919,21.866,100,0,0,12.9214,26.6478,-2.71606,1175.87,20,143.9,20.2,7.2
5004G094,6,21.8,8.9,7.5,172.7,3,1.9,0.182,1.719,2.301,0.038,0.083,1.7,6.64,55.607,0,3.877,21.195,0,12.681,100,0,0,12.9027,28.0956,-4.44701,1255.53,20,64.6,24,29.3
5005G090,4,22.9,8.5,7.1,181.3,2.1,3.3,0.187,1.461,2.143,0.053,0.109,3.4,9.477,57.73,14.943,4.95,5.195,0,7.705,100,0,0,12.5595,26.8319,-3.75037,1190.42,20,24.1,21,48
5006G015,5,22.9,7.4,7.7,440.7,24.1,2,0.129,1.734,2.087,0.045,0.076,1.6,13.32,70.389,0,0,11.017,1.879,3.395,100,0,0,12.8913,26.1121,-2.4649,1153.83,20,13,21.9,44
5006G030,7,23,10.5,8,230.7,47,3.3,0.136,2.106,2.753,0.071,0.152,2.1,1.533,46.595,15.386,2.433,0,0,34.053,100,0,0,NA,NA,NA,1157.45,20,246.6,26.3,12.7
5006G033,3,20.2,8,7.2,71.8,2.6,2.4,0.017,2.046,2.366,0.074,0.11,9,2.062,76.967,15.057,2.94,1.522,0,1.453,100.001,0,0,12.9331,25.5458,-1.96627,1149.15,20,2.8,28.6,34.4
5006G039,7,22.9,7.5,7.6,234.5,75.1,2.4,0.099,1.711,2.596,0.052,0.118,2,2.001,28.224,0.307,0,0,0,69.469,100.001,0,0,NA,NA,NA,NA,20,302.1,27.8,4.9
5006G042,3,21.1,7.4,6.1,81.4,3.9,3.4,0.03,3.332,3.708,0.24,0.267,2.2,2.459,95.086,0,0,0,0,2.455,100,0,0,12.9814,25.2091,-1.60924,1135.11,20,4.3,51.4,4.7
5006G060,4,23.1,9.6,7.8,224.2,31.6,4.7,0.233,2.143,2.853,0.071,0.131,4.1,0,87.747,0,0,1.557,0,10.696,100,0,0,12.9603,26.2209,-3.10992,1165.96,20,27.5,32.6,3.5
5006G063,7,21.3,8.4,7.8,167.1,5,3.8,0.518,2.79,4.236,0.018,0.036,35.7,0,3.812,0,2.316,2.346,0,91.527,100.001,0,0,NA,NA,NA,NA,20,775,31.7,4.7
5007G060,6,19.9,9.1,7.4,202.9,7.9,2.9,0.026,1.474,2.248,0.023,0.049,10.4,0,35.423,3.439,0,0,2.975,58.163,100,0,0,NA,NA,NA,NA,20,475,30.7,4.7
